Datum,Lag, HD, HD, LD, LD, Domarcoach;
2018-01-29 19:00:00,DIF-FHC,Alex Dipietro,Mikael Sjöqvist,Jimmy Dahmén,Emil Wernström,;
2018-01-30 19:00:00,SAIK-RBK,Mikael Andersson,Daniel Winge,Emil Yletyinen,Johannes Käck,;
2018-01-30 19:00:00,OHK-HV71,Alex Dipietro,Mikael Holm,Jimmy Dahmén,Fredrik Altberg,;
2018-01-30 19:00:00,BIF-MIF,Mikael Sjöqvist,Mikael Nord,Daniel Persson,David Laksola,;
2018-01-30 19:00:00,VLH-MIK,Patrik Sjöberg,Sören Persson,Anders Nyqvist,Johan Löfgren,;
2018-01-30 19:00:00,KHK-LHC,Pehr Claesson,Morgan Johansson,Ludvig Lundgren,Viktor Hafsäter,;
2018-01-30 19:00:00,FHC-DIF,Tobias Björk,Linus Öhlund,Henrik Pihlblad,Alexander Waldejer,;
2018-02-01 19:00:00,MIK-KHK,Sören Persson,Mikael Sjöqvist,David Laksola,Daniel Persson,;
2018-02-01 19:00:00,RBK-BIF,Linus Öhlund,Patric Bjälkander,Anders Jansson,Ludvig Lundgren,;
2018-02-01 19:00:00,LHC-SAIK,Mikael Andersson,Daniel Winge,Andreas Malmqvist,Rickard Nilsson,;
2018-02-01 19:00:00,HV71-VLH,Tobias Björk,Pehr Claesson,Anders Nyqvist,Henrik Pihlblad,;
2018-02-01 19:00:00,MIF-OHK,Morgan Johansson,Andreas Harnebring,Viktor Hafsäter,Fredrik Altberg,;
2018-02-01 19:00:00,DIF-LHF,Patrik Sjöberg,Mikael Nord,Jimmy Dahmén,Andreas Lundén,;
2018-02-03 15:15:00,MIK-SAIK,Patrik Sjöberg,Sören Persson,Örjan Åhlén,Emil Wernström,;
2018-02-03 15:15:00,RBK-OHK,Mikael Holm,Marcus Linde,Ludvig Lundgren,Anders Jansson,;
2018-02-03 15:15:00,LHC-HV71,Andreas Harnebring,Mikael Nord,Andreas Malmqvist,Gustav Jonsson,;
2018-02-03 15:15:00,FHC-FBK,Tobias Björk,Linus Öhlund,Anders Nyqvist,Henrik Pihlblad,;
2018-02-03 15:15:00,BIF-VLH,Mikael Andersson,Daniel Winge,Tobias Nordlander,Daniel Persson,;
2018-02-03 18:00:00,KHK-MIF,Pehr Claesson,Morgan Johansson,Rickard Nilsson,Johan Löfgren,;
2018-02-03 18:00:00,LHF-DIF,Mikael Sjöqvist,Wolmer Edqvist,Jan Sandström,Emil Yletyinen,;
2018-02-05 19:00:00,MIF-RBK,Morgan Johansson,Mikael Holm,,,;
2018-02-08 19:00:00,FBK-LHC,Patrik Sjöberg,Daniel Winge,Simon Hillborg,Daniel Persson,;
2018-02-08 19:00:00,HV71-MIK,Mikael Sjöqvist,Mikael Holm,Rickard Nilsson,Andreas Malmqvist,;
2018-02-08 19:00:00,LHF-BIF,Marcus Linde,Mikael Nord,Emil Yletyinen,Jan Sandström,;
2018-02-08 19:00:00,SAIK-FHC,Tobias Björk,Linus Öhlund,Johannes Käck,Jimmy Dahmén,;
2018-02-08 19:00:00,VLH-DIF,Mikael Andersson,Morgan Johansson,Ludvig Lundgren,Johan Löfgren,;
2018-02-08 19:00:00,OHK-KHK,Andreas Harnebring,Sören Persson,,,;
2018-02-10 15:15:00,LHC-MIF,Mikael Andersson,Patrik Sjöberg,,,;
2018-02-10 15:15:00,HV71-BIF,Pehr Claesson,Morgan Johansson,,,;
2018-02-10 15:15:00,OHK-LHF,Wolmer Edqvist,Andreas Harnebring,,,;
2018-02-10 18:00:00,SAIK-VLH,Marcus Linde,Mikael Nord,,,;
2018-02-10 18:00:00,MIK-FBK,Daniel Winge,Mikael Sjöqvist,Tobias Nordlander,David Laksola,;
2018-02-10 18:00:00,DIF-KHK,Linus Öhlund,Tobias Björk,,,;
2018-02-10 18:00:00,RBK-FHC,Patric Bjälkander,Mikael Holm,,,;
